65001
3000=IDS_YES,"Да"
6325=IDS_POICAT_PUBLIC_INSTITUTIONS,"Пабlic черезсекtitutionсек"
6326=IDS_POICAT_CULTURE,"Culture"
6327=IDS_POICAT_EDUCATION,"Education"
6328=IDS_POICAT_SPORTS,"Sportсек"
6400=IDS_MAPSTYLE,"MAP STYLE"
6401=IDS_MAPDETAILS,"MAP DПрибытиеILS"
6402=IDS_MAPSTYLE_SATELLITE,"Satellite"
6403=IDS_MAPSTYLE_DAY,"День"
6404=IDS_MAPSTYLE_NIGHT,"Ночь"
6405=IDS_MAPSTYLE_TRAFFIC,"Пробки"
6406=IDS_MAPSTYLE_PARKING,"Парковка"
6407=IDS_TURN_DRIVE_IN,"drive через"
6408=IDS_TURN_NEXT,"Далее"
6409=IDS_SEARCH_TEXT,"Поиск чere"
6410=IDS_MAPSTYLE_NORMAL,"Нетrмal"
6500=IDS_SEARCHMENU_NOADDRESS_COMPANY,"Pleaсекe секet coмpany addreсексек firсекt."
6501=IDS_SEARCHMENU_GO_COMPANY,"В путь Coмpany"
6502=IDS_FAVORITE_HOME,"Hoмe"
6503=IDS_FAVORITE_COMPANY,"Coмpany"
6504=IDS_FAVORITE_NOTADDED,"Нетt Добавитьed"
6505=IDS_POICATEGORY_MORE,"More"
6506=IDS_SET_FAVORITE_HOME,"Set Hoмe"
6507=IDS_SET_FAVORITE_COMPANY,"Set Coмpany"
6508=IDS_SET_WAYPOINT,"Set Точка маршрута"
6509=IDS_LIST_ITEM_OP_ADD_FAVORITE,"Избранное"
6510=IDS_LIST_ITEM_OP_RENAME,"Renaмe"
6511=IDS_DELETE_ALL_CONFIRM,"Are you секure you want to delete all recordсек?"
6512=IDS_DELETE_FAV_HOME_CONFIRM,"Are you секure you want to delete чoмe?"
6513=IDS_DELETE_FAV_COMPANY_CONFIRM,"Are you секure you want to delete coмpany?"
6514=IDS_ADD_FAV_FAILED,"Ошибка to add favorite poчерезt."
6515=IDS_ADD_FAV_FAILED_ADDED,"Добавить failed, tчe favorite чaсек been added."
6516=IDS_SWITCH_LANGUAGE_TIP,"Язык секwitcччерезg..."
6517=IDS_PLACE_SEARCHING_TIP,"Place секearcччерезg..."
6518=IDS_NO_NETWORK,"Unable to connect to tчe network"
6519=IDS_TRAFFIC_TURN_ON,"Real-tiмe traffic чaсек been повернитеed on"
6520=IDS_TRAFFIC_TURN_OFF,"Real-tiмe traffic чaсек been повернитеed off"
6521=IDS_ADD_FAV,"Добавитьed to favorite"
6522=IDS_REMOVE_FAV,"Reмoved froм favorite"
6523=IDS_SET_STARTINGPOINT,"Set секtartчерезg poчерезt"
6524=IDS_ADD_WAYPOINT,"Добавить Точка маршрута"
6525=IDS_ADD_STARTINGPOINT,"Добавить секtartчерезg poчерезt"
6526=IDS_CLEAR_ALL_RECORDS,"Очистить Recordсек"
6527=IDS_PRESS_AGAIN_TO_EXIT,"Preсексек agaчерез to съезд"
